comparison,metric,observed,ci_low,ci_high,supportive_fraction,n_boot
C-A,roc_auc,0.04573441537467693,0.02735384366925075,0.0642573078165375,1.0,10000
C-A,pr_auc,0.047636049431472705,0.026146447616495212,0.06948120721832993,1.0,10000
C-A,brier,-0.013490247847122855,-0.018021942156232793,-0.009100940972386427,1.0,10000
D-C,roc_auc,0.010557978036175752,-0.007267441860465129,0.027939781169250614,0.8786,10000
D-C,pr_auc,0.003810708893230319,-0.020302776124416392,0.028276027157391755,0.6144,10000
D-C,brier,-0.007994604009090911,-0.013406882113022652,-0.0023917423237278957,0.9971,10000
E-D,roc_auc,0.0013727390180877652,-0.000908430232558155,0.003674095607235195,0.8823,10000
E-D,pr_auc,0.00513834560837545,0.00025690618667937036,0.01016757326416004,0.981,10000
E-D,brier,-0.0003249457596002092,-0.0008833075517989016,0.0002412845091646367,0.8715,10000
D-A,roc_auc,0.05629239341085268,0.023658046673126567,0.08914804384689926,0.9996,10000
D-A,pr_auc,0.051446758324703024,0.010862804475924021,0.09284310183864268,0.993,10000
D-A,brier,-0.021484851856213766,-0.030844712959826333,-0.011979018551501982,1.0,10000
E-A,roc_auc,0.05766513242894045,0.02480771560077522,0.09023841246770027,0.9997,10000
E-A,pr_auc,0.05658510393307847,0.01570489693396728,0.09695373008078509,0.9968,10000
E-A,brier,-0.021809797615813975,-0.03126477995185871,-0.012362933701709935,1.0,10000
D-Dshuf,roc_auc,0.0610061369509044,0.027857517764857877,0.09385194605943149,0.9999,10000
D-Dshuf,pr_auc,0.05942273835046907,0.01798285063238474,0.09998696688458482,0.9981,10000
D-Dshuf,brier,-0.024210680536096152,-0.03351528569033845,-0.01483400320271641,1.0,10000
E-Eshuf,roc_auc,0.06074370155038755,0.027877200419896633,0.09370962532299743,0.9999,10000
E-Eshuf,pr_auc,0.06480149745496067,0.022349331121260505,0.10523300069864272,0.9993,10000
E-Eshuf,brier,-0.024275695281396642,-0.03353780810348491,-0.014781495728564182,1.0,10000
